error_type,rank,can_id,timestamp,is_attack,score,threshold,top_feature_1,top_feature_1_value,top_feature_2,top_feature_2_value,top_feature_3,top_feature_3_value,likely_explanation,corpus,dataset,detector,capture,protocol_version,phase
FP,1,018f,1478198419.94373,0,0.7520111984552414,0.5009767672276519,byte_mean_res,35.869020891152736,byte_var_res,35.86277383159421,time_since_last_seen_res,13.756032104184095,"benign_payload_variation id=018f; byte_mean_res=35.87,byte_var_res=35.86",hcrl,DoS,isolation_forest,,hcrl_temporal_v1,C
FP,2,018f,1478198419.365931,0,0.7476940949545854,0.5009767672276519,byte_mean_res,35.869020891152736,byte_var_res,35.86277383159421,time_since_last_seen_res,13.80862781200843,"benign_payload_variation id=018f; byte_mean_res=35.87,byte_var_res=35.86",hcrl,DoS,isolation_forest,,hcrl_temporal_v1,C
FP,3,018f,1478198419.973643,0,0.7072242025733099,0.5009767672276519,byte_mean_res,35.869020891152736,byte_var_res,35.86277383159421,byte_max_change_res,7.056188214844197,"benign_payload_variation id=018f; byte_mean_res=35.87,byte_var_res=35.86",hcrl,DoS,isolation_forest,,hcrl_temporal_v1,C
FP,4,018f,1478198419.513976,0,0.7059882996430712,0.5009767672276519,byte_mean_res,35.869020891152736,byte_var_res,35.86277383159421,byte_max_change_res,7.056188214844197,"benign_payload_variation id=018f; byte_mean_res=35.87,byte_var_res=35.86",hcrl,DoS,isolation_forest,,hcrl_temporal_v1,C
FP,5,018f,1478198420.003724,0,0.7027496300975556,0.5009767672276519,byte_mean_res,35.869020891152736,byte_var_res,35.86277383159421,byte_max_change_res,7.056188214844197,"benign_payload_variation id=018f; byte_mean_res=35.87,byte_var_res=35.86",hcrl,DoS,isolation_forest,,hcrl_temporal_v1,C
FP,6,018f,1478198420.113428,0,0.7025446179128071,0.5009767672276519,byte_mean_res,35.869020891152736,byte_var_res,35.86277383159421,byte_max_change_res,7.056188214844197,"benign_payload_variation id=018f; byte_mean_res=35.87,byte_var_res=35.86",hcrl,DoS,isolation_forest,,hcrl_temporal_v1,C
FP,7,018f,1478198419.40551,0,0.7022770583390894,0.5009767672276519,byte_mean_res,35.869020891152736,byte_var_res,35.86277383159421,byte_max_change_res,7.056188214844197,"benign_payload_variation id=018f; byte_mean_res=35.87,byte_var_res=35.86",hcrl,DoS,isolation_forest,,hcrl_temporal_v1,C
FP,8,018f,1478198420.153411,0,0.702069446603929,0.5009767672276519,byte_mean_res,35.869020891152736,byte_var_res,35.86277383159421,byte_max_change_res,7.056188214844197,"benign_payload_variation id=018f; byte_mean_res=35.87,byte_var_res=35.86",hcrl,DoS,isolation_forest,,hcrl_temporal_v1,C
FP,9,018f,1478198420.023729,0,0.7020367857103395,0.5009767672276519,byte_mean_res,35.869020891152736,byte_var_res,35.86277383159421,byte_max_change_res,7.056188214844197,"benign_payload_variation id=018f; byte_mean_res=35.87,byte_var_res=35.86",hcrl,DoS,isolation_forest,,hcrl_temporal_v1,C
FP,10,018f,1478198419.983607,0,0.7013246644072753,0.5009767672276519,byte_mean_res,35.869020891152736,byte_var_res,35.86277383159421,byte_max_change_res,7.056188214844197,"benign_payload_variation id=018f; byte_mean_res=35.87,byte_var_res=35.86",hcrl,DoS,isolation_forest,,hcrl_temporal_v1,C
FP,11,018f,1478198419.993525,0,0.7013246644072753,0.5009767672276519,byte_mean_res,35.869020891152736,byte_var_res,35.86277383159421,byte_max_change_res,7.056188214844197,"benign_payload_variation id=018f; byte_mean_res=35.87,byte_var_res=35.86",hcrl,DoS,isolation_forest,,hcrl_temporal_v1,C
FP,12,018f,1478198420.013693,0,0.7010874511981601,0.5009767672276519,byte_mean_res,35.869020891152736,byte_var_res,35.86277383159421,byte_max_change_res,7.056188214844197,"benign_payload_variation id=018f; byte_mean_res=35.87,byte_var_res=35.86",hcrl,DoS,isolation_forest,,hcrl_temporal_v1,C
